time,ECG
0.000,-0.105
0.003,-0.105
0.006,-0.105
0.008,-0.105
0.011,-0.105
0.014,-0.105
0.017,-0.105
0.019,-0.105
0.022,-0.125
0.025,-0.145
0.028,-0.150
0.031,-0.175
0.033,-0.195
0.036,-0.205
0.039,-0.200
0.042,-0.200
0.044,-0.195
0.047,-0.200
0.050,-0.200
0.053,-0.210
0.056,-0.210
0.058,-0.190
0.061,-0.190
0.064,-0.200
0.067,-0.215
0.069,-0.225
0.072,-0.225
0.075,-0.210
0.078,-0.210
0.081,-0.230
0.083,-0.245
0.086,-0.260
0.089,-0.255
0.092,-0.245
0.094,-0.230
0.097,-0.245
0.100,-0.280
0.103,-0.255
0.106,-0.165
0.108,-0.015
0.111,0.160
0.114,0.375
0.117,0.645
0.119,0.985
0.122,1.370
0.125,1.725
0.128,1.935
0.131,1.895
0.133,1.625
0.136,1.280
0.139,0.915
0.142,0.550
0.144,0.260
0.147,0.045
0.150,-0.110
0.153,-0.210
0.156,-0.255
0.158,-0.260
0.161,-0.235
0.164,-0.235
0.167,-0.270
0.169,-0.290
0.172,-0.305
0.175,-0.295
0.178,-0.295
0.181,-0.300
0.183,-0.330
0.186,-0.335
0.189,-0.325
0.192,-0.325
0.194,-0.315
0.197,-0.320
0.200,-0.330
0.203,-0.330
0.206,-0.325
0.208,-0.315
0.211,-0.320
0.214,-0.325
0.217,-0.325
0.219,-0.340
0.222,-0.325
0.225,-0.300
0.228,-0.300
0.231,-0.315
0.233,-0.320
0.236,-0.335
0.239,-0.330
0.242,-0.305
0.244,-0.300
0.247,-0.310
0.250,-0.325
0.253,-0.335
0.256,-0.315
0.258,-0.295
0.261,-0.310
0.264,-0.310
0.267,-0.325
0.269,-0.315
0.272,-0.300
0.275,-0.290
0.278,-0.275
0.281,-0.275
0.283,-0.285
0.286,-0.290
0.289,-0.275
0.292,-0.260
0.294,-0.245
0.297,-0.255
0.300,-0.255
0.303,-0.255
0.306,-0.230
0.308,-0.210
0.311,-0.180
0.314,-0.170
0.317,-0.170
0.319,-0.170
0.322,-0.165
0.325,-0.130
0.328,-0.110
0.331,-0.110
0.333,-0.110
0.336,-0.105
0.339,-0.095
0.342,-0.080
0.344,-0.050
0.347,-0.050
0.350,-0.050
0.353,-0.050
0.356,-0.040
0.358,-0.020
0.361,-0.015
0.364,-0.020
0.367,-0.045
0.369,-0.050
0.372,-0.050
0.375,-0.035
0.378,-0.045
0.381,-0.065
0.383,-0.105
0.386,-0.115
0.389,-0.120
0.392,-0.110
0.394,-0.115
0.397,-0.150
0.400,-0.180
0.403,-0.195
0.406,-0.195
0.408,-0.195
0.411,-0.195
0.414,-0.215
0.417,-0.245
0.419,-0.250
0.422,-0.245
0.425,-0.235
0.428,-0.235
0.431,-0.235
0.433,-0.260
0.436,-0.270
0.439,-0.255
0.442,-0.240
0.444,-0.245
0.447,-0.260
0.450,-0.285
0.453,-0.290
0.456,-0.265
0.458,-0.250
0.461,-0.255
0.464,-0.255
0.467,-0.270
0.469,-0.280
0.472,-0.260
0.475,-0.245
0.478,-0.245
0.481,-0.245
0.483,-0.270
0.486,-0.260
0.489,-0.240
0.492,-0.235
0.494,-0.240
0.497,-0.250
0.500,-0.255
0.503,-0.250
0.506,-0.225
0.508,-0.190
0.511,-0.190
0.514,-0.195
0.517,-0.195
0.519,-0.165
0.522,-0.130
0.525,-0.065
0.528,-0.020
0.531,-0.005
0.533,0.040
0.536,0.115
0.539,0.225
0.542,0.330
0.544,0.415
0.547,0.470
0.550,0.530
0.553,0.625
0.556,0.770
0.558,0.890
0.561,1.000
0.564,1.070
0.567,1.155
0.569,1.265
0.572,1.400
0.575,1.535
0.578,1.660
0.581,1.705
0.583,1.675
0.586,1.600
0.589,1.525
0.592,1.470
0.594,1.405
0.597,1.310
0.600,1.225
0.603,1.195
0.606,1.150
0.608,1.085
0.611,1.010
0.614,0.935
0.617,0.875
0.619,0.885
0.622,0.900
0.625,0.875
0.628,0.760
0.631,0.605
0.633,0.455
0.636,0.280
0.639,0.125
0.642,-0.070
0.644,-0.245
0.647,-0.400
0.650,-0.490
0.653,-0.510
0.656,-0.545
0.658,-0.595
0.661,-0.635
0.664,-0.655
0.667,-0.675
0.669,-0.685
0.672,-0.705
0.675,-0.720
0.678,-0.720
0.681,-0.735
0.683,-0.750
0.686,-0.765
0.689,-0.750
0.692,-0.770
0.694,-0.795
0.697,-0.795
0.700,-0.820
0.703,-0.820
0.706,-0.825
0.708,-0.855
0.711,-0.860
0.714,-0.880
0.717,-0.885
0.719,-0.905
0.722,-0.905
0.725,-0.905
0.728,-0.925
0.731,-0.940
0.733,-0.975
0.736,-0.980
0.739,-0.980
0.742,-0.965
0.744,-0.965
0.747,-0.995
0.750,-1.015
0.753,-1.020
0.756,-1.025
0.758,-1.030
0.761,-1.035
0.764,-1.035
0.767,-1.040
0.769,-1.035
0.772,-1.040
0.775,-0.995
0.778,-0.990
0.781,-1.000
0.783,-1.010
0.786,-0.995
0.789,-0.965
0.792,-0.910
0.794,-0.905
0.797,-0.905
0.800,-0.885
0.803,-0.850
0.806,-0.790
0.808,-0.745
0.811,-0.720
0.814,-0.715
0.817,-0.695
0.819,-0.665
0.822,-0.605
0.825,-0.565
0.828,-0.540
0.831,-0.530
0.833,-0.515
0.836,-0.475
0.839,-0.445
0.842,-0.415
0.844,-0.410
0.847,-0.410
0.850,-0.410
0.853,-0.395
0.856,-0.380
0.858,-0.355
0.861,-0.355
0.864,-0.385
0.867,-0.390
0.869,-0.390
0.872,-0.360
0.875,-0.340
0.878,-0.350
0.881,-0.365
0.883,-0.385
0.886,-0.385
0.889,-0.360
0.892,-0.345
0.894,-0.365
0.897,-0.360
0.900,-0.370
0.903,-0.360
0.906,-0.345
0.908,-0.340
0.911,-0.360
0.914,-0.370
0.917,-0.370
0.919,-0.355
0.922,-0.335
0.925,-0.330
0.928,-0.345
0.931,-0.350
0.933,-0.355
0.936,-0.335
0.939,-0.330
0.942,-0.320
0.944,-0.320
0.947,-0.325
0.950,-0.340
0.953,-0.320
0.956,-0.305
0.958,-0.305
0.961,-0.295
0.964,-0.290
0.967,-0.300
0.969,-0.300
0.972,-0.295
0.975,-0.290
0.978,-0.280
0.981,-0.295
0.983,-0.305
0.986,-0.300
0.989,-0.290
0.992,-0.280
0.994,-0.285
0.997,-0.280
1.000,-0.315
1.003,-0.285
1.006,-0.275
1.008,-0.265
1.011,-0.260
1.014,-0.275
1.017,-0.290
1.019,-0.280
1.022,-0.275
1.025,-0.265
1.028,-0.260
1.031,-0.270
1.033,-0.285
1.036,-0.280
1.039,-0.265
1.042,-0.255
1.044,-0.260
1.047,-0.270
1.050,-0.280
1.053,-0.280
